review_segment,Median Price,Avg Revenue,Avg Occupancy,Reviews/Month,Nb Reviews,Count
<4.0,70.5,2960.72,23.38,0.59,2.0,178
4.0-4.5,73.0,6072.18,47.72,1.3,12.0,527
4.5-4.7,73.0,6955.89,78.57,1.63,31.0,904
4.7-4.9,76.0,8853.96,97.56,2.01,41.0,2442
≥4.9,82.0,6532.46,62.87,1.43,13.0,2745
