host_is_superhost,price,estimated_revenue_l365d,estimated_occupancy_l365d,review_scores_rating,number_of_reviews,reviews_per_month,availability_365,host_response_rate
False,81.0,4247.94,39.0,4.74,30.72,1.2,213.95,0.88
True,73.0,10478.59,118.4,4.86,91.37,2.33,200.79,0.99
