iter	Passed	Remaining
403	10388	503911
404	10412	503782
405	10441	503930
406	10469	503996
407	10495	504008
408	10515	503709
409	10539	503575
410	10562	503437
411	10585	503258
412	10613	503372
413	10636	503205
414	10659	503043
415	10684	502971
416	10709	502934
417	10738	503052
418	10765	503082
419	10798	503394
420	10819	503172
421	10846	503192
422	10869	503058
423	10897	503126
424	10919	502945
425	10941	502766
426	10965	502627
427	10985	502372
428	11010	502311
429	11039	502434
430	11062	502270
431	11083	502024
432	11107	501922
433	11131	501836
434	11159	501924
435	11184	501877
436	11211	501888
437	11235	501816
438	11261	501799
439	11283	501620
440	11304	501363
441	11330	501379
442	11354	501272
443	11377	501115
444	11405	501186
445	11434	501303
446	11456	501157
447	11486	501324
448	11517	501514
449	11541	501417
450	11569	501504
451	11598	501615
452	11626	501682
453	11657	501887
454	11681	501796
455	11713	502053
456	11737	501955
457	11768	502125
458	11799	502333
459	11819	502082
460	11846	502082
461	11874	502178
462	11898	502063
463	11922	501959
464	11944	501797
465	11970	501801
466	11997	501814
467	12020	501663
468	12040	501410
469	12069	501530
470	12099	501698
471	12121	501504
472	12152	501710
473	12175	501549
474	12203	501628
475	12227	501518
476	12250	501398
477	12273	501256
478	12293	501008
479	12321	501075
480	12344	500936
481	12369	500875
482	12394	500815
483	12413	500552
484	12438	500509
485	12460	500318
486	12484	500231
487	12505	500003
488	12530	499979
489	12553	499835
490	12576	499722
491	12600	499595
492	12621	499391
493	12646	499338
494	12674	499417
495	12698	499329
496	12719	499146
497	12747	499217
498	12778	499397
499	12805	499401
500	12828	499298
501	12858	499413
502	12881	499322
503	12909	499389
504	12935	499348
505	12955	499117
506	12981	499114
507	13001	498867
508	13027	498877
509	13053	498859
510	13085	499056
511	13104	498783
512	13133	498904
513	13164	499058
514	13187	498940
515	13212	498899
516	13234	498734
517	13258	498654
518	13281	498525
519	13305	498447
520	13333	498520
521	13358	498449
522	13379	498250
523	13405	498259
524	13435	498379
525	13463	498473
526	13497	498741
527	13528	498910
528	13552	498826
529	13573	498649
530	13595	498475
531	13621	498477
532	13649	498528
533	13670	498325
534	13694	498232
535	13722	498307
536	13745	498186
537	13772	498217
538	13795	498098
539	13819	498007
540	13846	498049
541	13878	498236
542	13900	498093
543	13924	498023
544	13946	497860
545	13967	497674
546	13997	497791
547	14020	497666
548	14046	497661
549	14070	497575
550	14095	497535
551	14115	497320
552	14143	497380
553	14173	497519
554	14200	497534
555	14227	497551
556	14256	497631
557	14285	497723
558	14319	497995
559	14340	497826
560	14372	497999
561	14394	497850
562	14424	497994
563	14454	498108
564	14477	497989
565	14504	498008
566	14530	498024
567	14559	498082
568	14580	497926
569	14606	497890
570	14631	497865
